[rosmaster.main][INFO] 2024-11-14 00:26:24,766: initialization complete, waiting for shutdown
[rosmaster.main][INFO] 2024-11-14 00:26:24,767: Starting ROS Master Node
[xmlrpc][INFO] 2024-11-14 00:26:24,770: XML-RPC server binding to 0.0.0.0:11311
[rosmaster.master][INFO] 2024-11-14 00:26:24,771: Master initialized: port[11311], uri[http://nx:11311/]
[xmlrpc][INFO] 2024-11-14 00:26:24,771: Started XML-RPC server [http://nx:11311/]
[xmlrpc][INFO] 2024-11-14 00:26:24,772: xml rpc node: starting XML-RPC server
[rosmaster.master][INFO] 2024-11-14 00:26:24,833: +PARAM [/run_id] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:24,836: +PARAM [/roslaunch/uris/host_nx__36313] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,094: +PARAM [/slam_planner_node/local_costmap/width] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,095: +PARAM [/slam_planner_node/global_costmap/resolution] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,095: +PARAM [/slam_planner_node/global_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,096: +PARAM [/slamware_ros_sdk_server_node/angle_compensate] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,096: +PARAM [/slam_planner_node/global_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,097: +PARAM [/slamware_ros_sdk_server_node/map] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,097: +PARAM [/slam_planner_node/global_costmap/update_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,097: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,098: +PARAM [/slam_planner_node/clearing_rotation_allowed] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,098: +PARAM [/slam_planner_node/global_costmap/min_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,099: +PARAM [/slam_planner_node/local_costmap/height] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,099: +PARAM [/slam_planner_node/global_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,099: +PARAM [/slam_planner_node/local_costmap/transform_tolerance] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,100: +PARAM [/slamware_ros_sdk_server_node/fixed_odom_map_tf] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,100: +PARAM [/slam_planner_node/local_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,100: +PARAM [/slamware_ros_sdk_server_node/laser_frame] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,101: +PARAM [/slamware_ros_sdk_server_node/odom] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,101: +PARAM [/slam_planner_node/TrajectoryPlannerROS/publish_cost_grid_pc] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,101: +PARAM [/slam_planner_node/global_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,102: +PARAM [/slamware_ros_sdk_server_node/map_pub_period] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,102: +PARAM [/slam_planner_node/global_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,102: +PARAM [/slamware_ros_sdk_server_node/robot_frame] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,103: +PARAM [/slam_planner_node/TrajectoryPlannerROS/sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,103: +PARAM [/slam_planner_node/TrajectoryPlannerROS/acc_lim_x] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,103: +PARAM [/slam_planner_node/TrajectoryPlannerROS/max_vel_theta] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,104: +PARAM [/slamware_ros_sdk_server_node/cmd_vel] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,104: +PARAM [/slam_planner_node/global_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,104: +PARAM [/slamware_ros_sdk_server_node/robot_pose_pub_period] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,105: +PARAM [/slam_planner_node/local_costmap/global_frame] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,105: +PARAM [/slamware_ros_sdk_server_node/map_metadata] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,105: +PARAM [/slam_planner_node/global_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,106: +PARAM [/slam_planner_node/local_costmap/rolling_window] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,106: +PARAM [/slam_planner_node/TrajectoryPlannerROS/prune_plan] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,106: +PARAM [/slam_planner_node/TrajectoryPlannerROS/meter_scoring] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,107: +PARAM [/slam_planner_node/TrajectoryPlannerROS/heading_lookahead] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,107: +PARAM [/slam_planner_node/global_costmap/map_type] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,107: +PARAM [/slam_planner_node/TrajectoryPlannerROS/pdist_scale] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,108: +PARAM [/slam_planner_node/global_costmap/max_obstacle_height] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,108: +PARAM [/slam_planner_node/TrajectoryPlannerROS/angular_sim_granularity] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,108: +PARAM [/rosdistro] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,109: +PARAM [/slam_planner_node/local_costmap/scan/data_type] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,109: +PARAM [/slam_planner_node/local_costmap/scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,109: +PARAM [/slam_planner_node/TrajectoryPlannerROS/vtheta_samples] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,109: +PARAM [/slam_planner_node/local_costmap/raytrace_range] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,110: +PARAM [/slam_planner_node/TrajectoryPlannerROS/sim_time] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,110: +PARAM [/slam_planner_node/local_costmap/scan/marking] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,110: +PARAM [/slam_planner_node/TrajectoryPlannerROS/escape_vel] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,111: +PARAM [/slam_planner_node/global_costmap/obstacle_range] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,111: +PARAM [/slam_planner_node/global_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,111: +PARAM [/slam_planner_node/TrajectoryPlannerROS/acc_lim_y] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,112: +PARAM [/slam_planner_node/global_costmap/scan/expected_update_rate] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,112: +PARAM [/slam_planner_node/global_costmap/scan/clearing] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,112: +PARAM [/slam_planner_node/global_costmap/robot_base_frame] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,113: +PARAM [/slam_planner_node/TrajectoryPlannerROS/occdist_scale] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,113: +PARAM [/slam_planner_node/local_costmap/publish_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,113: +PARAM [/slam_planner_node/controller_frequency] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,113: +PARAM [/slam_planner_node/local_costmap/scan/topic] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,114: +PARAM [/slam_planner_node/global_costmap/static_map] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,114: +PARAM [/slam_planner_node/TrajectoryPlannerROS/vx_samples] by /roslaunch
[rosmaster.master][INFO] 2024-11-14 00:26:25,114: +PARAM [/slam_planner_node/TrajectoryPlannerROS/max_vel_y] by /roslaunch
